brcode,tran_type,d_date,tran_month,item_code,qty,day,month,year,quarter,week,day_type
109,Sale,2016-04-05,April,298416,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,2,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,310183,1,5,4,2016,1,14,weekday
3,Sale,2016-04-05,April,201975,2,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,228187,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,3,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,323007,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,323007,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,4,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,208501,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,2,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,208501,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,201975,6,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,208501,3,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,4,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,310183,1,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,4,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,208501,2,5,4,2016,1,14,weekday
109,Sale,2016-04-05,April,319048,1,5,4,2016,1,14,weekday
